Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance,Moving Time,Distance.1,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Max Cadence,Average Cadence,Grade Adjusted Distance,Average Elapsed Speed,Dirt Distance
19681175901,2026-07-08 17:03:51,Evening Trail Run,Run,3716,10.9,3646.0,10.9,7.5,10.7676,185.3,185.3,192.8,343.7,16.0,104.0,78.0,11285.6,2.935,2850.8
19094826434,2026-06-28 08:00:02,Morning Trail Run,Run,1553,4.85,1539.0,4.85,6.4,11.3472,94.0,94.6,223.6,302.5,18.0,117.0,77.0,5087.0,3.123,4850.4
19053857524,2026-06-24 19:26:56,Night Trail Run,Run,2876,7.04,2869.0,7.04,5.36,8.8344,99.4,108.0,188.4,248.3,14.8,89.0,77.0,7215.4,2.448,3679.6
19001101904,2026-06-20 18:30:22,Evening Trail Run,Run,2500,7.24,2311.0,7.24,18.23,11.286,112.8,117.9,170.7,239.7,45.7,110.0,75.0,7475.8,2.898,231.4
18945750751,2026-06-16 15:57:22,Afternoon Trail Run,Run,2329,5.54,2295.0,5.54,5.667,8.6976,58.5,67.5,180.0,216.5,13.6,85.0,76.0,5674.2,2.38,4460.8
18919232779,2026-06-14 14:50:42,Afternoon Trail Run,Run,3059,7.0,3055.0,7.0,7.48,8.251199999999999,114.1,118.2,180.0,248.3,11.4,112.0,77.0,7238.9,2.289,1030.4
18879708790,2026-06-11 15:11:07,Afternoon Trail Run,Run,2290,7.26,2290.0,7.26,7.38,11.4192,102.7,101.0,188.4,248.3,12.8,110.0,76.0,7465.5,3.172,4514.9
18826401836,2026-06-07 14:14:24,Afternoon Trail Run,Run,5628,14.64,5043.0,14.64,7.26,10.458,230.4,228.4,188.4,248.3,20.9,98.0,78.0,15139.1,2.603,8482.9
18784934970,2026-06-04 13:50:14,Afternoon Trail Run,Run,3828,7.37,2561.0,7.37,8.86,10.360800000000001,107.6,101.0,188.4,248.3,18.3,98.0,77.0,7583.4,1.925,4493.3
18531719154,2026-05-16 15:09:12,Afternoon Trail Run,Run,2342,7.02,2342.0,7.02,7.2,10.792800000000002,101.6,96.0,188.4,235.7,13.6,94.0,78.0,7239.9,2.998,5841.4
18507117506,2026-05-14 16:03:35,Evening Trail Run,Run,5269,14.01,5039.0,14.01,6.77,10.0152,181.5,187.6,188.4,235.7,14.0,98.0,77.0,14374.3,2.66,11791.0
18456548232,2026-05-10 18:00:05,Evening Trail Run,Run,2471,7.04,2404.0,7.04,7.68,10.5444,92.3,92.4,188.4,235.7,14.6,94.0,76.0,7227.5,2.85,5990.2
15628993863,2025-08-29 17:16:55,Evening Trail Run,Run,1970,5.62,1957.0,5.62,6.8,10.346400000000001,65.6,65.6,188.6,216.8,14.5,104.0,77.0,5741.6,2.855,4509.3
15584815510,2025-08-25 19:07:51,Night Trail Run,Run,2573,7.02,2569.0,7.02,6.74,9.8496,91.9,91.9,188.6,235.7,25.4,104.0,75.0,7220.6,2.732,5920.9
15534917515,2025-08-20 19:53:34,Night Trail Run,Run,2544,7.09,2516.0,7.09,4.52,10.152,92.1,92.1,188.6,235.7,12.1,117.0,73.0,7270.5,2.789,5974.6
15060362184,2025-07-07 18:41:34,Evening Trail Run,Run,171372,5.6,1865.0,5.6,4.84,10.8252,65.7,65.5,188.6,216.8,14.0,110.0,78.0,5725.9,0.033,4472.6
14851991591,2025-06-19 16:53:16,Evening Trail Run,Run,985,3.05,985.0,3.05,5.36,11.156400000000001,37.2,37.2,198.8,223.0,13.4,125.0,82.0,3125.9,3.099,2930.2
14820951672,2025-06-16 19:32:37,Night Trail Run,Run,3183,8.47,3000.0,8.47,6.46,10.1736,141.4,142.5,188.6,258.2,15.9,110.0,79.0,8730.2,2.664,7307.2
14780059575,2025-06-12 18:24:00,Evening Trail Run,Run,3317,9.15,3011.0,9.15,7.36,10.944,22.4,23.2,54.3,65.6,43.4,110.0,76.0,9228.0,2.76,4949.9
14738105932,2025-06-08 19:14:21,Night Trail Run,Run,1811,5.45,1751.0,5.45,7.08,11.2104,0.0,3.4,58.9,62.3,11.4,110.0,78.0,5454.7,3.01,4872.2
14675199561,2025-06-02 16:41:19,Evening Trail Run,Run,4153,7.78,2539.0,7.78,5.79,11.0304,154.0,153.7,219.1,329.9,15.2,110.0,76.0,8176.1,1.873,1799.7
14594298807,2025-05-25 18:55:16,Evening Trail Run,Run,1805,5.41,1663.0,5.41,6.36,11.7144,65.3,65.9,188.6,216.8,17.9,110.0,79.0,5538.3,2.998,4423.6
14563822895,2025-05-22 18:44:55,Evening Trail Run,Run,1873,5.71,1774.0,5.71,5.76,11.5992,55.9,55.9,188.6,216.8,13.1,110.0,82.0,5797.9,3.052,5153.2
14543545631,2025-05-20 18:43:00,Evening Trail Run,Run,2430,6.86,2276.0,6.86,8.5,10.8612,91.3,91.3,188.6,235.8,13.9,125.0,78.0,7042.2,2.826,5841.9
14498107202,2025-05-16 12:02:55,Afternoon Trail Run,Run,2589,6.62,2152.0,6.62,4.8,11.0772,101.0,101.0,188.6,236.9,49.8,117.0,80.0,6893.6,2.558,5744.1
14489427205,2025-05-15 14:38:00,Afternoon Trail Run,Run,2524,6.72,2080.0,6.72,7.76,11.635200000000001,91.7,91.7,188.6,235.8,36.4,104.0,80.0,6908.7,2.663,5775.7
14460057097,2025-05-12 19:38:11,Night Run,Run,2262,3.56,1456.0,3.56,4.76,8.8164,58.8,58.9,188.6,217.3,13.1,110.0,72.0,3708.5,1.577,2452.4
14380051553,2025-05-04 18:06:59,Evening Run,Run,2068,5.96,2009.0,5.96,9.08,10.692,99.8,99.8,149.0,223.0,13.3,110.0,75.0,6204.8,2.885,542.6
14368327077,2025-05-03 18:39:54,Evening Run,Run,2859,7.44,2526.0,7.44,6.12,10.609200000000001,64.8,64.8,198.7,220.6,18.6,117.0,78.0,7538.1,2.604,0.0
14343324074,2025-05-01 11:31:04,Afternoon Run,Run,3084,6.26,1975.0,6.26,6.78,11.412,78.2,78.2,189.7,218.4,43.6,,,6417.2,2.03,867.8
