Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Max Cadence,Average Cadence,Grade Adjusted Distance,Average Elapsed Speed,Dirt Distance
19681175901,2026-07-08 17:03:51,Evening Trail Run,Run,3716,10.9,3646.0,10.9,7.5,2.991,185.3,185.3,192.8,343.7,16.0,104.0,78.0,11285.6,2.935,2850.8
19094826434,2026-06-28 08:00:02,Morning Trail Run,Run,1553,4.85,1539.0,4.85,6.4,3.152,94.0,94.6,223.6,302.5,18.0,117.0,77.0,5087.0,3.123,4850.4
19053857524,2026-06-24 19:26:56,Night Trail Run,Run,2876,7.04,2869.0,7.04,5.36,2.454,99.4,108.0,188.4,248.3,14.8,89.0,77.0,7215.4,2.448,3679.6
19001101904,2026-06-20 18:30:22,Evening Trail Run,Run,2500,7.24,2311.0,7.24,18.23,3.135,112.8,117.9,170.7,239.7,45.7,110.0,75.0,7475.8,2.898,231.4
18945750751,2026-06-16 15:57:22,Afternoon Trail Run,Run,2329,5.54,2295.0,5.54,5.667,2.416,58.5,67.5,180.0,216.5,13.6,85.0,76.0,5674.2,2.38,4460.8
18919232779,2026-06-14 14:50:42,Afternoon Trail Run,Run,3059,7.0,3055.0,7.0,7.48,2.292,114.1,118.2,180.0,248.3,11.4,112.0,77.0,7238.9,2.289,1030.4
18879708790,2026-06-11 15:11:07,Afternoon Trail Run,Run,2290,7.26,2290.0,7.26,7.38,3.172,102.7,101.0,188.4,248.3,12.8,110.0,76.0,7465.5,3.172,4514.9
18826401836,2026-06-07 14:14:24,Afternoon Trail Run,Run,5628,14.64,5043.0,14.64,7.26,2.905,230.4,228.4,188.4,248.3,20.9,98.0,78.0,15139.1,2.603,8482.9
18784934970,2026-06-04 13:50:14,Afternoon Trail Run,Run,3828,7.37,2561.0,7.37,8.86,2.878,107.6,101.0,188.4,248.3,18.3,98.0,77.0,7583.4,1.925,4493.3
18531719154,2026-05-16 15:09:12,Afternoon Trail Run,Run,2342,7.02,2342.0,7.02,7.2,2.998,101.6,96.0,188.4,235.7,13.6,94.0,78.0,7239.9,2.998,5841.4
18507117506,2026-05-14 16:03:35,Evening Trail Run,Run,5269,14.01,5039.0,14.01,6.77,2.782,181.5,187.6,188.4,235.7,14.0,98.0,77.0,14374.3,2.66,11791.0
